map-format-version:1.0,rows:20,cols:20,castle-row:10,castle-col:5
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-sea
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-sea,environments-sea
environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-grass,environments-sea,environments-sea,environments-sea
environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea
environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea
environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea,environments-sea
